,Time,Lat,Long,precipcal
0,2020-03-31 00:00:00,35.05,127.25,0.0
1,2020-03-31 00:30:00,35.05,127.25,0.0
2,2020-03-31 01:00:00,35.05,127.25,0.0
3,2020-03-31 01:30:00,35.05,127.25,0.0
4,2020-03-31 02:00:00,35.05,127.25,0.0
5,2020-03-31 02:30:00,35.05,127.25,0.0
6,2020-03-31 03:00:00,35.05,127.25,0.0
7,2020-03-31 03:30:00,35.05,127.25,0.0
8,2020-03-31 04:00:00,35.05,127.25,0.0
9,2020-03-31 04:30:00,35.05,127.25,0.0
10,2020-03-31 05:00:00,35.05,127.25,0.0
11,2020-03-31 05:30:00,35.05,127.25,0.0
12,2020-03-31 06:00:00,35.05,127.25,0.0
13,2020-03-31 06:30:00,35.05,127.25,0.0
14,2020-03-31 07:00:00,35.05,127.25,0.0
15,2020-03-31 07:30:00,35.05,127.25,0.0
16,2020-03-31 08:00:00,35.05,127.25,0.0
17,2020-03-31 08:30:00,35.05,127.25,0.0
18,2020-03-31 09:00:00,35.05,127.25,0.0
19,2020-03-31 09:30:00,35.05,127.25,0.0
20,2020-03-31 10:00:00,35.05,127.25,0.0
21,2020-03-31 10:30:00,35.05,127.25,0.0
22,2020-03-31 11:00:00,35.05,127.25,0.0
23,2020-03-31 11:30:00,35.05,127.25,0.0
24,2020-03-31 12:00:00,35.05,127.25,0.0
25,2020-03-31 12:30:00,35.05,127.25,0.0
26,2020-03-31 13:00:00,35.05,127.25,0.0
27,2020-03-31 13:30:00,35.05,127.25,0.0
28,2020-03-31 14:00:00,35.05,127.25,0.014920869
29,2020-03-31 14:30:00,35.05,127.25,0.0018706653
30,2020-03-31 15:00:00,35.05,127.25,0.0042869416
31,2020-03-31 15:30:00,35.05,127.25,0.0
32,2020-03-31 16:00:00,35.05,127.25,0.005133692
33,2020-03-31 16:30:00,35.05,127.25,0.0
34,2020-03-31 17:00:00,35.05,127.25,1.89
35,2020-03-31 17:30:00,35.05,127.25,1.89
36,2020-03-31 18:00:00,35.05,127.25,1.4786491
37,2020-03-31 18:30:00,35.05,127.25,0.8091792
38,2020-03-31 19:00:00,35.05,127.25,0.68042064
39,2020-03-31 19:30:00,35.05,127.25,0.501412
40,2020-03-31 20:00:00,35.05,127.25,0.437097
41,2020-03-31 20:30:00,35.05,127.25,0.3145517
42,2020-03-31 21:00:00,35.05,127.25,0.32220173
43,2020-03-31 21:30:00,35.05,127.25,0.32999998
44,2020-03-31 22:00:00,35.05,127.25,0.0
45,2020-03-31 22:30:00,35.05,127.25,0.0
46,2020-03-31 23:00:00,35.05,127.25,0.0
47,2020-03-31 23:30:00,35.05,127.25,0.0
